,Name,ISIN,coupon,issue date,last coupon date,maturity date,month_to_maturity,Clean1.10,Clean1.11,Clean1.12,Clean1.13,Clean1.14,Clean1.17,Clean1.18,Clean1.19,Clean1.20,Clean1.21,Clean1.24
0,CAN 1.5 Jun 23,CA135087A610,0.015,2012-07-30,2021-12-01,2023-06-01,17,100.54561643835616,100.53150684931506,100.49739726027397,100.46328767123288,100.42917808219178,100.30684931506849,100.2527397260274,100.2386301369863,100.22452054794522,100.27041095890411,100.27808219178083
1,CAN 2.5 Jun 24,CA135087B451,0.025,2013-07-02,2021-12-01,2024-06-01,29,102.74602739726026,102.69917808219178,102.68232876712328,102.6354794520548,102.57863013698629,102.34808219178082,102.24123287671232,102.20438356164384,102.18753424657534,102.27068493150685,102.34013698630136
2,CAN 0.5 Mar 22,CA135087G328,0.005,2016-10-11,2021-09-01,2022-03-01,1,99.86054794520548,99.84917808219178,99.84780821917808,99.84643835616438,99.83506849315069,99.83095890410958,99.80958904109589,99.8082191780822,99.80684931506849,99.8154794520548,99.8213698630137
3,CAN 1.75 Mar 23,CA135087H490,0.0175,2017-10-06,2021-09-01,2023-03-01,14,100.31191780821918,100.29712328767124,99.37232876712329,100.23753424657534,100.2127397260274,100.09835616438356,100.04356164383562,100.03876712328767,100.03397260273972,100.06917808219178,100.06479452054795
4,CAN 2.25 Mar 24,CA135087J546,0.0225,2018-10-05,2021-09-01,2024-03-01,26,101.50246575342466,101.49630136986302,101.44013698630137,101.39397260273972,101.34780821917809,101.13931506849315,101.05315068493151,101.03698630136986,101.01082191780822,101.09465753424658,101.09616438356164
5,CAN 1.5 Sept 24,CA135087J967,0.015,2019-04-05,2021-09-01,2024-09-01,32,100.02164383561644,100.08753424657534,100.07342465753425,100.02931506849315,99.96520547945205,99.72287671232877,99.63876712328766,99.57465753424658,99.59054794520549,99.68643835616437,99.7841095890411
6,CAN 1.5 Feb 22,CA135087K601,0.015,2019-11-04,2021-08-01,2022-02-01,0,100.03424657534246,99.39013698630137,99.38602739726028,99.37191780821918,99.35780821917808,99.3454794520548,99.3313698630137,99.3272602739726,99.3131506849315,99.30904109589041,99.28671232876712
7,CAN 1.5 May 22,CA135087K866,0.015,2020-01-27,2021-11-01,2022-05-01,3,100.06232876712328,100.04821917808219,100.0441095890411,100.02,100.00589041095891,99.96356164383562,99.94945205479452,99.94534246575343,99.93123287671233,99.93712328767123,99.92479452054795
8,CAN 0.25 Aug 22,CA135087L286,0.0025,2020-05-04,2021-08-01,2022-08-01,6,99.6890410958904,99.67835616438357,99.66767123287671,99.65698630136986,99.64630136986302,99.60424657534246,99.58356164383562,99.58287671232877,99.60219178082191,99.62150684931507,99.62945205479453
9,CAN 0.25 Nov 22,CA135087L369,0.0025,2020-08-17,2021-11-01,2022-11-01,10,99.50205479452055,99.4913698630137,99.47068493150685,99.47,99.44931506849315,99.37726027397261,99.34657534246575,99.36589041095891,99.37520547945206,99.4045205479452,99.42246575342466
